Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,123573.43090347946,22148105755.498634,6305182982.0922575,933359339.23360419,3747123780.6710601,1224560315.8054647
1,Oilseed farming,0.85360848903656006,269685.7750415802,1448.0394311249256,120846.10015153885,133276.86488628388,-3552.4582490324974
2,Grain farming,27.959280014038086,3280903.1009674072,510542.86956787109,450981.16993904114,1023696.6609954834,-44431.362301111221
3,Vegetable and melon farming,15.971248626708984,903611.77921295166,330278.54561805725,59013.955295085907,94232.343137264252,337.07328839227557
4,Fruit farming,42.469741821289062,1781074.7623443604,690145.55215835571,91104.090213775635,311619.1029548645,864.54034317284822
5,Tree nut farming,0.96122348308563232,18550.334498286247,22564.06657397747,804.05198968946934,-5733.5239835083485,15.110744243429508
6,"Greenhouse, nursery, and floriculture production",132.6212158203125,6866352.5581359863,4240404.1290283203,197281.49473667145,37301.36901140213,1229.4554617255926
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,250.39976501464844,3381919.8608398438,2509930.3722381592,181263.16368579865,-421772.71842956543,-48318.244516849518
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",75.84466552734375,5077009.6778869629,178850.71039199829,427737.29562759399,1385704.7557830811,176126.31618976593
12,Dairy cattle and milk production,195.34059143066406,40820907.592773438,4161031.2461853027,1250544.7864532471,2406238.5559082031,1015793.5619354248
13,Poultry and egg production,53.123271942138672,14727821.350097656,1898551.344871521,113760.95563173294,-181789.05546665192,79062.581062316895
14,"Animal production, except cattle and poultry and eggs",85.492111206054688,5433432.1022033691,1098516.9410705566,1188145.7567214966,2602779.6268463135,289976.62663459778
15,"Forestry, forest products, and timber tract production",5.3728489875793457,559687.73365020752,417835.23559570312,0,35613.987594842911,1427.4163404479623
16,Commercial logging,41.612880706787109,4048091.4115905762,1652477.9796600342,857299.26824569702,83346.940577030182,60723.304748535156
17,Commercial fishing,0,0,0,0,0,0
18,Commercial hunting and trapping,2.6889877319335938,148835.10768413544,0,93595.504760742188,0,15365.160070359707
19,Support activities for agriculture and forestry,187.69378662109375,6873862.2665405273,5384077.5489807129,867152.45246887207,-1099104.8812866211,314577.19206809998
20,Oil and gas extraction,11.039969444274902,6680419.4450378418,0,6298268.7950134277,1008.866704069078,48129.837960004807
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
26,Uranium-radium-vanadium ore mining,0,0,0,0,0,0
27,Other metal ore mining,0,0,0,0,0,0
28,Stone mining and quarrying,79.859779357910156,22453304.290771484,6573951.7211914062,250653.53512763977,5038218.9750671387,1070532.9179763794
29,Sand and gravel mining,84.660697937011719,16010267.25769043,6035587.3107910156,664981.84204101562,1317119.1215515137,957152.12821960449
30,"Other clay, ceramic, refractory minerals mining",0,0,0,0,0,0
31,"Potash, soda, and borate mineral mining",0,0,0,0,0,0
32,Phosphate rock mining,0,0,0,0,0,0
33,Other chemical and fertilizer mineral mining,0,0,0,0,0,0
34,Other nonmetallic minerals,0,0,0,0,0,0
35,Drilling oil and gas wells,3.4682614803314209,966175.79460144043,0,492934.55481529236,0,29572.881758213043
36,Support activities for oil and gas operations,1.1869446039199829,670612.09678649902,0,627728.64103317261,46.602854126831517,9352.8367578983307
37,Metal mining services,1.186981201171875,720340.60955047607,0,678907.33480453491,96.46674880059436,5416.2535816431046
38,Other nonmetallic minerals services,1.1869820356369019,733593.04666519165,0,691250.2646446228,79.089673818089068,5663.1201878190041
39,Electric power generation - Hydroelectric,126.86784362792969,54725177.764892578,5655251.0261535645,5909118.65234375,6541948.3184814453,7067362.7853393555
40,Electric power generation - Fossil fuel,40.404453277587891,61098804.473876953,7770211.6966247559,533675.19378662109,12322225.570678711,6914639.949798584
41,Electric power generation - Nuclear,0,0,0,0,0,0
42,Electric power generation - Solar,0,0,0,0,0,0
43,Electric power generation - Wind,0,0,0,0,0,0
44,Electric power generation - Geothermal,0,0,0,0,0,0
45,Electric power generation - Biomass,0,0,0,0,0,0
46,Electric power generation - All other,0,0,0,0,0,0
47,Electric power transmission and distribution,169.03652954101563,230337371.82617188,27646059.036254883,543052.49452590942,42099308.013916016,27533506.393432617
48,Natural gas distribution,24.537490844726562,15801722.526550293,1807038.5456085205,328662.6935005188,2028589.4870758057,1509664.8931503296
49,"Water, sewage and other systems",8.6643571853637695,2445210.2184295654,564677.29806900024,233398.10967445374,428868.44277381897,226772.2487449646
50,Construction of new health care structures,221.3297119140625,34760082.244873047,10033301.35345459,5385900.0205993652,5382194.0422058105,332709.55085754395
51,Construction of new manufacturing structures,359.8853759765625,56742473.602294922,17222249.984741211,8635343.5516357422,5031190.8721923828,498889.14823532104
52,Construction of new power and communication structures,504.20230102539062,93338943.481445312,23278797.149658203,12200131.416320801,20091432.571411133,1281810.7604980469
53,Construction of new educational and vocational structures,574.781005859375,81926399.230957031,30422668.45703125,11322926.52130127,10726681.709289551,647825.95634460449
54,Construction of new highways and streets,448.79067993164062,91751907.348632812,21026004.791259766,10477282.524108887,16444135.665893555,704655.88569641113
