Industry Detail ,,,,,,,
IndustryCode,Description,Employment,Output,EmployeeCompensation,ProprietorIncome,OtherPropertyTypeIncome,TaxOnProductionAndImports
0,Total,7705.5560353025794,1081961199.9592743,278792406.65957332,53688992.727256849,115056766.91619737,72165747.746288612
1,Oilseed farming,2.8604903221130371,1120046.3771820068,3321.5219154953957,1118319.7498321533,-70466.481149196625,-14753.903262317181
2,Grain farming,21.170074462890625,3482066.6313171387,299264.10317420959,1066491.7230606079,740284.68132019043,-47155.600041151047
3,Vegetable and melon farming,20.137622833251953,1740693.9268112183,351398.2892036438,253309.04126167297,327008.36658477783,649.32910026982427
4,Fruit farming,100.27519989013672,6426386.3563537598,1375321.2690353394,732449.94878768921,1836178.0643463135,3119.391854852438
5,Tree nut farming,0.61400085687637329,19240.068271756172,12925.609014928341,1858.2084449008107,3473.6529923975468,15.672589142923243
6,"Greenhouse, nursery, and floriculture production",8.8540239334106445,748576.28345489502,255326.5392780304,47923.855483531952,185473.78480434418,134.03639604803175
7,Tobacco farming,0,0,0,0,0,0
8,Cotton farming,0,0,0,0,0,0
9,Sugarcane and sugar beet farming,0,0,0,0,0,0
10,All other crop farming,228.92929077148438,4066647.5296020508,1666915.774345398,485666.57304763794,576365.53049087524,-58101.098984479904
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",42.862388610839844,3573830.6045532227,69533.713161945343,670901.17931365967,661987.48350143433,123979.6057343483
12,Dairy cattle and milk production,83.638053894042969,26257808.685302734,1478276.1335372925,1792381.763458252,1758105.5164337158,653403.22256088257
13,Poultry and egg production,1.4984912872314453,609909.35564041138,43423.805385828018,10497.246868908405,21884.970366954803,3274.1441391408443
14,"Animal production, except cattle and poultry and eggs",10.070038795471191,856917.67930984497,95686.428248882294,417532.23538398743,251672.62554168701,45732.803642749786
15,"Forestry, forest products, and timber tract production",14.668148040771484,2329166.6507720947,728883.14723968506,1248237.0138168335,62126.010656356812,3780.85533156991
16,Commercial logging,42.252166748046875,5449084.7587585449,1389386.2962722778,2512310.5049133301,70077.24791765213,61647.612601518631
17,Commercial fishing,0,0,0,0,0,0
18,Commercial hunting and trapping,0.11668301373720169,4634.6583403646946,0,2228.4644655883312,0,666.73906985670328
19,Support activities for agriculture and forestry,0.90984451770782471,48127.643764019012,0,39782.017469406128,0,1539.6554954349995
20,Oil and gas extraction,1.0542800426483154,2281263.1130218506,0,2162603.8551330566,344.51286774128675,4596.238024532795
21,Coal mining,0,0,0,0,0,0
22,"Copper, nickel, lead, and zinc mining",0,0,0,0,0,0
23,Iron ore mining,0,0,0,0,0,0
24,Gold ore mining,0,0,0,0,0,0
25,Silver ore mining,0,0,0,0,0,0
